Number of threads is 25.
generating random projection
output path ../h5_projected/g1040_0016_binary_search_10000_ran is not exist, create output path.
rank 20, cnt =   26
rank  2, cnt =   23
rank  4, cnt =   27
rank 12, cnt =   25
rank 22, cnt =   24
rank  6, saving output file r06_01_map.h5
rank 23, saving output file r23_01_mcf.h5
rank  5, cnt =   26
rank 10, saving output file r10_01_mcf.h5
rank 21, saving output file r21_01_mcf.h5
rank 17, cnt =   25
rank  8, cnt =   27
rank  1, cnt =   27
rank  0, cnt =   24
rank 03, saving output file r03_01_mcf.h5
rank 19, cnt =   27
rank 11, cnt =   27
rank 23, cnt =   26
rank 21, cnt =   26
rank 06, saving output file r06_01_mcf.h5
rank  24, saving output file r24_01_map.h5
rank 10, cnt =   26
rank 18, cnt =   23
rank  3, cnt =   26
rank 20, cnt =   27
rank  4, cnt =   28
rank  14, saving output file r14_01_map.h5
rank 15, cnt =   24
rank  6, cnt =   26
rank  5, cnt =   27
rank  9, cnt =   27
rank  2, cnt =   24
rank  7, cnt =   22
rank 16, cnt =   25
rank 24, saving output file r24_01_mcf.h5
rank  8, cnt =   28
rank  13, saving output file r13_01_map.h5
rank  12, saving output file r12_01_map.h5
rank  1, cnt =   28
rank 22, cnt =   25
rank 11, cnt =   28
rank 23, cnt =   27
rank 14, saving output file r14_01_mcf.h5
rank 21, cnt =   27
rank  17, saving output file r17_01_map.h5
rank 19, cnt =   28
rank 24, cnt =   26
rank  3, cnt =   27
rank  4, cnt =   29
rank 12, saving output file r12_01_mcf.h5
rank 10, cnt =   27
rank 18, cnt =   24
rank  6, cnt =   27
rank 14, cnt =   26
rank  5, cnt =   28
rank 13, saving output file r13_01_mcf.h5
rank 17, saving output file r17_01_mcf.h5
rank 20, cnt =   28
rank  8, cnt =   29
rank  0, cnt =   25
rank  1, cnt =   29
rank 23, cnt =   28
rank 11, cnt =   29
rank  2, cnt =   25
rank 12, cnt =   26
rank  16, saving output file r16_01_map.h5
rank  7, cnt =   23
rank 17, cnt =   26
rank  9, cnt =   28
rank 21, cnt =   28
rank 24, cnt =   27
rank  22, saving output file r22_01_map.h5
rank 13, cnt =   26
rank 15, cnt =   25
rank  3, cnt =   28
rank 19, cnt =   29
rank  4, cnt =   30
rank 16, saving output file r16_01_mcf.h5
rank  6, cnt =   28
rank 20, cnt =   29
rank 14, cnt =   27
rank  5, cnt =   29
rank  1, cnt =   30
rank  8, cnt =   30
rank 22, saving output file r22_01_mcf.h5
rank 18, cnt =   25
rank 11, cnt =   30
rank 23, cnt =   29
rank 17, cnt =   27
rank 12, cnt =   27
rank 10, cnt =   28
rank 16, cnt =   26
rank 24, cnt =   28
rank 21, cnt =   29
rank  2, saving output file r02_01_map.h5
rank 22, cnt =   26
rank  7, cnt =   24
rank  3, cnt =   29
rank  0, saving output file r00_01_map.h5
rank  9, cnt =   29
rank 19, cnt =   30
rank  6, cnt =   29
rank 13, cnt =   27
rank  1, cnt =   31
rank  5, cnt =   30
rank  8, cnt =   31
rank 02, saving output file r02_01_mcf.h5
rank  15, saving output file r15_01_map.h5
rank 20, cnt =   30
rank  4, cnt =   31
rank 14, cnt =   28
rank 23, cnt =   30
rank 12, cnt =   28
rank 16, cnt =   27
rank 17, cnt =   28
rank 11, cnt =   31
rank 10, cnt =   29
rank 22, cnt =   27
rank  18, saving output file r18_01_map.h5
rank 21, cnt =   30
rank  2, cnt =   26
rank 00, saving output file r00_01_mcf.h5
rank  3, cnt =   30
rank 15, saving output file r15_01_mcf.h5
rank 24, cnt =   29
rank 19, cnt =   31
rank  7, cnt =   25
rank  1, cnt =   32
rank  5, cnt =   31
rank  6, cnt =   30
rank 18, saving output file r18_01_mcf.h5
rank  8, cnt =   32
rank  0, cnt =   26
rank 13, cnt =   28
rank 15, cnt =   26
rank 20, cnt =   31
rank 17, cnt =   29
rank 16, cnt =   28
rank 10, cnt =   30
rank 11, cnt =   32
rank  4, cnt =   32
rank 23, cnt =   31
rank 22, cnt =   28
rank 18, cnt =   26
rank  9, cnt =   30
rank  2, cnt =   27
rank 14, cnt =   29
rank 12, cnt =   29
rank  3, cnt =   31
rank 21, cnt =   31
rank 19, cnt =   32
rank  1, cnt =   33
rank  5, cnt =   32
rank  8, cnt =   33
rank  6, cnt =   31
rank 24, cnt =   30
rank 15, cnt =   27
rank 17, cnt =   30
rank  0, cnt =   27
rank 16, cnt =   29
rank 13, cnt =   29
rank 23, cnt =   32
rank 10, cnt =   31
rank 11, cnt =   33
rank 20, cnt =   32
rank 22, cnt =   29
rank 18, cnt =   27
rank  2, cnt =   28
rank 14, cnt =   30
rank  4, cnt =   33
rank  7, saving output file r07_01_map.h5
rank  1, cnt =   34
rank 12, cnt =   30
rank 19, cnt =   33
